,up,down,left,right
"(9,,)",-202.3616,-202.3616,-3.951424,-3.68928
"(9,,)",-201.952,-202.68928,-3.951424,-3.3616
"(9,,)",-201.952,-201.952,-3.68928,-2.952
"(9,,)",-202.3616,-201.44,-3.3616,-2.44
"(9,,)",-201.44,-200.8,-2.952,-1.8
"(9,,)",-201.44,-201.44,-2.44,-2.44
"(9,,)",-201.44,-201.952,-2.952,-1.8
"(9,,)",-200.0,-201.952,-2.44,-2.44
"(9,,)",-2.44,-200.0,-2.952,-2.44
"(9,,)",-201.952,-200.8,-2.952,-1.8
"(9,,)",-2.44,-2.44,-2.44,-201.952
"(9,,)",-201.952,-201.44,-2.952,-3.3616
"(9,,)",-2.952,-201.952,-201.44,-2.952
"(9,,)",-201.44,-201.44,-3.3616,-2.44
"(9,,)",-201.44,-1.8,-2.952,-201.952
"(9,,)",-202.3616,-201.44,-2.44,-2.44
"(9,,)",-1.8,-201.952,-201.44,-2.952
"(9,,)",-201.44,-201.44,-2.44,-3.3616
"(9,,)",-201.952,-201.952,-2.952,-201.952
"(9,,)",-361.5616,-360.0,-3.3616,-201.952
"(1,0)",-201.952,-201.952,-202.3616,-2.952
"(1,0)",-2.952,-2.44,-200.0,-202.3616
"(1,0)",-201.44,-201.952,-2.952,-2.952
"(1,0)",-2.44,-3.3616,-202.3616,-202.3616
"(1,0)",-2.952,-3.68928,-2.952,-202.68928
"(1,0)",-3.3616,-3.68928,-202.3616,-202.3616
"(1,0)",-3.3616,-2.952,-202.68928,-201.44
"(1,0)",-2.952,-2.952,-202.3616,-202.3616
"(1,0)",-3.3616,-201.952,-202.3616,-2.952
"(1,0)",-3.3616,-2.44,-201.952,-201.44
"(1,0)",-201.44,-1.8,-2.952,-1.8
"(1,0)",-2.44,-1.0,-201.44,-201.44
"(1,0)",-1.8,-201.44,-1.8,-201.44
"(1,0)",-2.44,-1.8,-201.44,-200.8
"(1,0)",-1.8,-2.44,-201.44,-201.44
"(1,0)",-2.44,-2.952,-201.44,-202.68928
"(1,0)",-201.952,-3.3616,-201.952,-201.44
"(1,0)",-3.68928,-3.3616,-202.68928,-200.8
"(1,0)",-3.3616,-201.44,-202.3616,-202.68928
"(1,0)",-3.68928,-3.3616,-201.44,-202.68928
"(1,0)",-3.951424,-3.3616,-202.68928,-202.68928
"(1,0)",-3.951424,-3.68928,-202.68928,-202.68928
"(1,0)",-3.3616,-201.952,-202.3616,-201.952
"(1,0)",-3.3616,-2.44,-202.68928,-202.3616
"(1,0)",-2.952,-2.952,-201.952,-200.8
"(1,0)",-2.44,-2.44,-201.44,-201.44
"(1,0)",-2.952,-1.8,-200.8,-201.952
"(1,0)",-2.44,-2.44,-201.44,-200.8
"(1,0)",-2.44,-2.952,-201.952,-201.952
"(1,0)",-2.44,-3.3616,-201.952,-201.952
"(1,0)",-2.44,-201.952,-201.952,-2.44
"(1,0)",-1.8,-2.44,-201.952,-200.8
"(1,0)",-201.44,-200.8,-2.44,-201.952
"(1,0)",-3.3616,-2.44,-201.44,-201.44
"(1,0)",-2.952,-2.952,-201.952,-2.952
"(1,0)",-2.44,-2.44,-201.44,-201.44
"(1,0)",-201.952,-200.8,-2.952,-201.952
"(1,0)",-2.44,-2.44,-201.44,-202.3616
"(1,0)",-2.952,-2.952,-201.952,-201.952
"(1,0)",-3.3616,-2.44,-202.3616,-360.0
"(1,0)",-200.0,-201.952,-201.952,-360.0
"(1,1)",-202.3616,-201.44,-201.952,-2.44
"(1,1)",-2.952,-1.8,-201.952,-201.952
"(1,1)",-202.3616,-201.44,-2.44,-3.3616
"(1,1)",-2.952,-201.952,-201.952,-3.68928
"(1,1)",-201.44,-201.952,-3.3616,-3.68928
"(1,1)",-202.68928,-201.44,-3.68928,-3.3616
"(1,1)",-202.3616,-201.44,-3.68928,-2.952
"(1,1)",-202.3616,-2.44,-3.3616,-201.952
"(1,1)",-202.3616,-201.44,-2.952,-2.44
"(1,1)",-2.952,-201.44,-201.952,-1.8
"(1,1)",-201.44,-201.44,-2.44,-2.44
"(1,1)",-1.8,-200.8,-1.8,-201.44
"(1,1)",-200.0,-201.952,-2.44,-2.952
